SerialNo,Session_Summary,Cleaned_Summary,Length,Cluster,TSNE-1,TSNE-2,Reclustered,Relevance,Rank
59,"in this lecture we first learned about population and that sample should be good and representative. our goal is to predict or estimate population from sample and we can use operations like counting ,adding ,subtracting, multiplication and division. also, we have attributes like frequency or count, mode ,median ,mean, standard deviation ,variance if we estimate for population then it is called parameter and if we calculate for sample then it is called statistic. we want to estimate the parameters based on the statistics. we create a model based on how correctly can we predict the values based on that model. even a point can be considered as a model but it will be a very naive model. first we need to perform some operation on the data points like plotting scatter plot or something and from which we can see and conclude that whether we have to use simple linear regression or we have to just create a single point as a model. for a particular model bias represents the net sum of all unaccountable variables. one set of samples will give one line but some other samples might give other line so we just create one of the very possible models. we need to estimate the confidence interval for values of b0 and b1. the best way to arrive at these values is by using sum of square of errors because it will magnify the error. the mean of the observation lies on the prediction line .we have closed form solution to calculate the values of a and b. b0 and b1r point estimates and we need to arrive at the possible interval within which these values will lie such that there is a very high chance that the predictable values that is the population parameters will lie within these intervals respectively",first learned population sample good representative goal predict estimate population sample use operations like counting adding subtracting multiplication division also attributes like frequency count mode median mean standard deviation variance estimate population called parameter calculate sample called statistic want estimate parameters based statistics create model based correctly predict values based model even point considered model naive model first need perform operation points like plotting scatter plot something see conclude whether use simple linear regression create single point model particular model bias represents net sum unaccountable variables one set samples give one line samples might give line create one possible models need estimate confidence interval values b0 b1 best way arrive values using sum square errors magnify error mean observation lies prediction line closed form solution calculate values b b0 b1r point estimates need arrive possible interval within values lie high chance predictable values population parameters lie within intervals respectively,149,2,-28.847958,-7.960919,2,0.80420506,10
348,"we started by talking about population v/s sample. we consider a sample and determine the various attributes associated with it, like- mean mode, median and based on the values of these attributes, we predict those for our population. so, it is important to consider a sample that is good and represents the population well. the attributes estimated for population are known as parameters, while those calculated using the sample data are called as estimates/ statistics. we talked about the different kinds of attributes that can be associated with the population data. some of these include- mean, median, mode, standard deviation. our goal is to estimate these parameters of the population using the calculated statistics. all levels of measurement can be assigned different attributes of the data, depending on the type of data they account for. for example, nominal level can have the attribute of mode or count(frequency) but assigning the attribute of mean would be completely senseless, as nominal data is qualitative.
then we started discussing simple linear regression. in this model, we fit the data using a line (a simple linear equation with just one independent variable).
we can always use a point to represent any data, but this choice is very naive. so we instead use a simple equation like: y=ax+b where a and b are the estimates of population parameters and x is the independent variable. the y intercept, b here represents the sum total of the effects of all â€˜unknownâ€™ independent variables, which are not considered in the equation. so, as we include more and more independent variables, the value of b would start decreasing. also, depending upon the chosen sample, we can have various values of a and b. so, every sample will have a unique value for a and b. these values- a and b are known as the point estimates of the actual parameters. we can say with 100% confidence that the values of these point estimates do not coincide with the actual parameter values. so, in order to establish a certain level of certainty about the parameter values, we convert the point estimates to interval estimates, thereby giving a confidence interval, within which the population parameters would lie, with a given level of certainty. as the length of confidence interval increases, we become more and more confident that the estimated values resemble the parameter values. now, since different samples would give us different values of the estimates, we need to determine the values, which minimize the error. error for an observation is defined as the difference between the actual value and that obtained by estimating the data set with a line. so, to find the values of a and b, we need to minimize the sum of squares of individual errors. we do this by partially differentiating the expression with respect to a and b separately and by solving the two equations for two unknowns, we get the values of a and b in terms of the means and the mean of squares of the data set values. after getting the values of a and b, we put them in the equation to obtain the best model for the given data set. we consider the squares while minimizing errors instead of simply minimizing their sum as- it magnifies the errors, also it prevents cancellation of the errors, which can result when one point is above the line and other is below. since, we are getting the exact values of a and b, these are known as â€˜closed-form solutionsâ€™.
we do observe that the means of x and y (all observed values) satisfy the equation of the regression line. so, the predicted/ approximated line for the data values, pass through their mean.

",started talking population vs sample consider sample determine attributes associated like mean mode median based values attributes predict population important consider sample good represents population well attributes estimated population known parameters calculated using sample called estimates statistics talked different kinds attributes associated population include mean median mode standard deviation goal estimate parameters population using calculated statistics levels measurement assigned different attributes depending type account nominal level attribute mode countfrequency assigning attribute mean would completely senseless nominal qualitative started discussing simple linear regression model fit using line simple linear equation one independent variable always use point represent choice naive instead use simple equation like yaxb b estimates population parameters x independent variable intercept b represents sum total effects â€˜unknownâ€™ independent variables considered equation include independent variables value b would start decreasing also depending upon chosen sample values b every sample unique value b values b known point estimates actual parameters say 100 confidence values point estimates coincide actual parameter values order establish certain level certainty parameter values convert point estimates interval estimates thereby giving confidence interval within population parameters would lie given level certainty length confidence interval increases become confident estimated values resemble parameter values since different samples would give us different values estimates need determine values minimize error error observation defined difference actual value obtained estimating set line find values b need minimize sum squares individual errors partially differentiating expression respect b separately solving two equations two unknowns get values b terms means mean squares set values getting values b put equation obtain best model given set consider squares minimizing errors instead simply minimizing sum magnifies errors also prevents cancellation errors result one point line since getting exact values b known â€˜closedform solutionsâ€™ observe means x observed values satisfy equation regression line predicted approximated line values pass mean,298,2,-28.75725,-10.625373,2,0.8033382,11
430,"today we discussed simple linear regression (slr). simple linear regression is a statistical method used to model the relationship between a dependent variable y and an independent variable x by fitting a straight line to the data. the objective is to find the best-fitting line that minimizes the squared difference between the observed data points and the predicted values. the simple linear regression model is represented by the equation: y=a+bx+ïµ. the goal is to estimate the parameters a, bâ€‹ in summary, simple linear regression finds the best-fitting straight line by minimizing the sum of squared differences between the observed and predicted values, leading to the estimation of the slope and intercept.by minimizing the sum of squared errors, i.e., error - the difference between the observed values and actual values. to minimize the sse, take partial derivatives with respect to a, bâ€‹, set them to zero, and solve. after calculating a-hatâ€‹ and b-hatâ€‹, the fitted regression line is obtained.this is how we estimate the population parameters based on the data sample. we can also calculate confidence intervals on the parameter estimates using their known mean and variance.",simple linear regression slr simple linear regression statistical method model relationship dependent variable independent variable x fitting straight line objective find bestfitting line minimizes squared difference observed points predicted values simple linear regression model represented equation yabxïµ goal estimate parameters bâ€‹ simple linear regression finds bestfitting straight line minimizing sum squared differences observed predicted values leading estimation slope interceptby minimizing sum squared errors ie error difference observed values actual values minimize sse take partial derivatives respect bâ€‹ set zero solve calculating ahatâ€‹ bhatâ€‹ fitted regression line obtainedthis estimate population parameters based sample also calculate confidence intervals parameter estimates using known mean variance,102,2,-23.076918,-11.054938,2,0.80128896,12
517,"in today's lecture, we started the discussion with population vs sample that the sample must be good and representative of the entire population. we use the sample to predict/estimate various attributes of the population.

attributes of population:
1. count (frequency)
2. mode
3. mean
4. median
5. standard deviation
6. variance

operations:
1. count
2. add
3. subtract
4. multiply
5. divide

if these attributes are calculated from the population they are known as parameters and if they are calculated from a sample they are known as statistic.
we want to estimate the parameters based on the statistics.

slr -> simple linear regression:
(it has only one predictor) 

we find the best fit line for the given data in the slr model.
y = b0 + b1x
where, y -> dependent variable, response variable, label
             x -> independent variable, feature, predictor

even a point can be considered as a model - although a very naive model.

here, b0 is called as bias as it accounts for all the other features which we didn't account for in the model.
b0 and b1 are the estimates of the population parameters (i.e. statistics).
since these are calculated from the sample their confidence is very low. so, we need to find a confidence interval containing these estimates in which we can confidently say that the real population parameters would lie in.
on increasing the interval width, the confidence also increases.

we have y(hat) = ax+b, for each data value we define error ei = yi - yi(hat).
now to get the best fit line we need to minimize the errors.
for that taking the sum of all the individual errors won't work as the positive and negative errors might get cancelled leading to zero net error even if the individual error values are large.
to address this issue we can minimize the sum of either |ei| or (ei)^2. 
we prefer the sum of (ei)^2 as:
1. it magnifies the error for a better fit.
2. it doesn't differentiate between different directions.

summation(ei)^2 = summation(yi - yi(hat))^2 
                               = summation (yi - ax -b)^2
here, we can minimize the error by making the derivative of error zero with respect to both a and b to get their values.
we have 'closed form' solution to calculate the values of a and b.
we can also observe from the equations that the point with average values of features as x-coordinate and average values of labels as y-coordinate lies on the best fit line.

b0 and b1 are 'point estimates' so we need to arrive at the possible interval within which these values lie such that there is a very high chance that b0p and b1p (i.e. the population parameters) will lie within these intervals respectively. 
",started population vs sample sample must good representative entire population use sample predictestimate attributes population attributes population 1 count frequency 2 mode 3 mean 4 median 5 standard deviation 6 variance operations 1 count 2 add 3 subtract 4 multiply 5 divide attributes calculated population known parameters calculated sample known statistic want estimate parameters based statistics slr simple linear regression one predictor find best fit line given slr model b0 b1x dependent variable response variable label x independent variable feature predictor even point considered model although naive model b0 called bias accounts features didnt account model b0 b1 estimates population parameters ie statistics since calculated sample confidence low need find confidence interval containing estimates confidently say real population parameters would lie increasing interval width confidence also increases yhat axb value define error ei yi yihat get best fit line need minimize errors taking sum individual errors wont work positive negative errors might get cancelled leading zero net error even individual error values large address issue minimize sum either ei ei2 prefer sum ei2 1 magnifies error fit 2 doesnt differentiate different directions summationei2 summationyi yihat2 summation yi ax b2 minimize error making derivative error zero respect b get values closed form solution calculate values b also observe equations point average values features xcoordinate average values labels ycoordinate lies best fit line b0 b1 point estimates need arrive possible interval within values lie high chance b0p b1p ie population parameters lie within intervals respectively,243,2,-27.292555,-8.928334,2,0.8009877,13
323,"in todayâ€™s class we learnt about simple linear regression and how we estimate the coefficients,  m and  c, using sample data. these coefficients define the regression line. we learnt that these values are only point estimates of the population parameters, which means they wonâ€™t exactly match the true population values but should be close. the confidence for that exact point will be 0%. however we can obtain an interval with a given confidence. it is called estimation interval or confidence interval. if we increase the size of interval, the confidence will increase too. example- for confidence of 100% the interval needs to be infinity like entire domain.
for sample we get those coefficient and we call it statistic. for population it is called parameter. our main aim is to obtain parameter based on statistic. for the regression line we also define an error term which can be calculated in multiple ways. we can either take absolute difference of all points from the line and sum it up. other way we could take the square of distances of point from line and sum it up. in this way the error is calculated for each point and we aim to minimize it to get those linear regression coefficients.",todayâ€™s class simple linear regression estimate coefficients c using sample coefficients define regression line values point estimates population parameters means wonâ€™t exactly match true population values close confidence exact point 0 however obtain interval given confidence called estimation interval confidence interval increase size interval confidence increase confidence 100 interval needs infinity like entire domain sample get coefficient call statistic population called parameter main aim obtain parameter based statistic regression line also define error term calculated multiple ways either take absolute difference points line sum way could take square distances point line sum way error calculated point aim minimize get linear regression coefficients,102,2,-23.767256,-7.259774,2,0.79998624,14
251,"in todays lecture, we started with the continuation of the previous lectures discussion on population and sample. population has its parameters and sample has statistics. we want to estimate the parameters based on the statistics. we then moved our discussion towards coming up with a model from a dataset. depending upon the type of scatter plot of the data, we might want to fit a different model. suppose there is a dataset where all points seem to be more or less unaffected by the parameters and more like scattered in a particular circular region, we might want to find its point estimate. if the 2 parameters seem to be linearly varying with each other, as in the example of marketing expense vs revenue, we might want to fit a line to it. now the question arises - how do we fit the best line? for that, we use simple linear regression. suppose our lines predicts a y hat for a given x and the real value corresponding to that x is y, we define error e = y hat - y. we want our line to be such that this error is minimum. we do so by minimising the sum of square of this errors. we finally arrived at direct formulas for the slope and intercept of the equation.",started continuation previous lectures population sample population parameters sample statistics want estimate parameters based statistics moved towards coming model dataset depending upon type scatter plot might want fit different model suppose dataset points seem less unaffected parameters like scattered particular circular region might want find point estimate 2 parameters seem linearly varying marketing expense vs revenue might want fit line question arises fit best line use simple linear regression suppose lines predicts hat given x real value corresponding x define error e hat want line error minimum minimising sum square errors finally arrived direct formulas slope intercept equation,98,2,-23.034996,-10.297953,2,0.7969934,15
623,today we learnt about qualities of a sample that it should be representative of the population. the main funda of calculation on the sample is statistics and estimation on population is parameter. certain statistics on mean are count mode std dev median and mean etc. where we also made a tabulation of level of measurement and their attributes possible and operations allowed. then we moved on to simple linear regression. also an interesting thing that points are also fitting of data...though a bad fit as it's like cr of a class of data. we learnt about bias in a slr which indicates the effect of other parameters on the y or output. last part was derivation of linear fitting line with best fit condition to minimize error sqaure.,qualities sample representative population main funda calculation sample statistics estimation population parameter certain statistics mean count mode std dev median mean etc also made tabulation level measurement attributes possible operations allowed moved simple linear regression also interesting thing points also fitting datathough bad fit like cr class bias slr indicates effect parameters output last part derivation linear fitting line best fit condition minimize error sqaure,65,2,-24.229397,-12.297171,2,0.791733,16
456,"population v/s sample: the quality of a sample is measured by how well it represents the population. once we have a sample, we need to predict the population from the sample.

there are various attributes like mean, median, mode and various operations like addition, subtraction, multiplication etc.  

depending on the level of measurement ,we can or cannot calculate certain attributes or perform certain operations.

any variable measured for the sample is deemed as a statistic whereas any variable measured for the population is deemed as a parameter.

simple linear regression: fitting a best fit line through the set of data to try to model it accurately.

the type of model to fit is highly dependent on how the data is spread. for a circular distribution, a point may also seem like a valid model but it is a little naive and inaccurate to do so.

a simple linear regression has one dependent and one independent variable where y=b0+b1*(x).the coefficients b0 and b1 are calculated so that the resulting line is best fitted to the given data. we try to find a confidence interval around b0 and b1 so that we can confidently say that a large fraction(most of the data) lies within that interval.the error is the difference between the predicted y value and the ctual y value and the sum of squares of errors is minimized in what is known as the least squares fitting method.
",population vs sample quality sample measured well represents population sample need predict population sample attributes like mean median mode operations like addition subtraction multiplication etc depending level measurement cannot calculate certain attributes perform certain operations variable measured sample deemed statistic whereas variable measured population deemed parameter simple linear regression fitting best fit line set try model accurately type model fit highly dependent spread circular distribution point may also seem like valid model little naive inaccurate simple linear regression one dependent one independent variable yb0b1xthe coefficients b0 b1 calculated resulting line best fitted given try find confidence interval around b0 b1 confidently say large fractionmost lies within intervalthe error difference predicted value ctual value sum squares errors minimized known least squares fitting method,122,2,-30.407967,-9.232821,2,0.7807467,17
280,"today's lecture started off with a discussion about the difference between population and sample. sample is a small subset representing the entire population because gathering data for the entire population can be very difficult. so the sample should be a good representative of the population, and we should be able to predict the population's behaviour from the sample. there are various statistical attributes of data which can be calculated. some of them are frequency, mean, median, mode, std. deviation, variance, etc. if these attributes are calculated for the sample, they are called as statistics, whereas if they are estimated for the population, they are called the parameters. so our main focus with data science and ml is to estimate the parameters from the statistics. 
then we moved on to simple linear regression, where we have only one influencing or independent variable steering our predictions. our model is basically of the form y = ax + b, where x is the independent variable (predictor, feature), y is the dependent variable (response variable, label) and b is the bias term. the bias term accounts for all the unknown variables influencing our predictions. so as and when we bring more and more influencing variables into our model, the bias term keeps on reducing. 
one special thing that sir mentioned today was that a model can be as simple as a point. even a point predictor can be a model, however it may not be relevant for any practical usage and may not represent our data well. 
so a and b are the statistics of the population parameters. we also defined a confidence interval, which is the interval of values within which the parameters lie. the larger the confidence interval, the more confident we can be of the parameter value lying in that interval. then we also talked about minimising the error between our predictions and the actual data value at a given point. we said that the error can be formulated in various ways, but the most optimum way is to consider the sum of the squared errors, as that is something which is least influenced by the sign and the direction of fluctuation, and hence should be the best choice for minimisation. upon doing minimisation, we calculated the values of the statistics a and b. however these were closed form solution which were basically point estimates of the parameters. these estimates might not give us any confidence about the actual parameter values, hence we also need to find a possible interval within which the value of the parameters can exist with a very high probability.",started difference population sample sample small subset representing entire population gathering entire population difficult sample good representative population able predict populations behaviour sample statistical attributes calculated frequency mean median mode std deviation variance etc attributes calculated sample called statistics whereas estimated population called parameters main focus science ml estimate parameters statistics moved simple linear regression one influencing independent variable steering predictions model basically form ax b x independent variable predictor feature dependent variable response variable label b bias term bias term accounts unknown variables influencing predictions bring influencing variables model bias term keeps reducing one special thing sir mentioned model simple point even point predictor model however may relevant practical usage may represent well b statistics population parameters also defined confidence interval interval values within parameters lie larger confidence interval confident parameter value lying interval also talked minimising error predictions actual value given point said error formulated ways optimum way consider sum squared errors something least influenced sign direction fluctuation hence best choice minimisation upon minimisation calculated values statistics b however closed form solution basically point estimates parameters estimates might give us confidence actual parameter values hence also need find possible interval within value parameters exist high probability,198,2,-26.533272,-9.944964,2,0.7758492,18
20," a sample is just a smaller group taken from a larger population. any calculations we make from a sample, like averages, variances, or standard deviations, are called statistics, while the same calculations done on the entire population are known as parameters. the goal is often to estimate these population parameters using statistics from a sample.
now, in the case of simple linear regression, weâ€™re trying to find a straight line that best fits our data so we can predict one thing based on another. the equation of this line is written as: 
y = î²â‚€ +  î²â‚x 
where:
y is the predicted value,
x is the input value, and
î²â‚€ and î²â‚ are the parameters of the line.
these parameters, î²â‚€ and î²â‚, represent the intercept and the slope of the line, and they're estimates of the population parameters. to get the best estimates for these, we want to minimize the errorsâ€”basically, the difference between the actual data points and the line we're drawing.
we do this by minimizing the sum of squared errors which are just the squared differences between the predicted and actual values. it's a way to avoid problems that would arise from just using raw differences (like positive and negative errors canceling each other out). minimizing these squared differences gives us the best-fit line.
to find the actual values of î²â‚€ and î²â‚, we use a method called partial differentiation to minimize the errors. the formulas that come out of this are:
î²â‚€ = mean(y) - î²â‚ * mean(x)
î²â‚ = (mean(xy) - mean(x) * mean(y)) / (mean(xâ²) - mean(x)â²)
these give us the estimated values of the slope and intercept, which help us understand the relationship between the variables in our data. by using these estimates, we can get a good approximation of the population parameters and make predictions from our model.",sample smaller group taken larger population calculations make sample like averages variances standard deviations called statistics calculations done entire population known parameters goal often estimate population parameters using statistics sample case simple linear regression weâ€™re trying find straight line best fits predict one thing based another equation line written î²â‚€ î²â‚x predicted value x input value î²â‚€ î²â‚ parameters line parameters î²â‚€ î²â‚ represent intercept slope line theyre estimates population parameters get best estimates want minimize errorsâ€”basically difference actual points line drawing minimizing sum squared errors squared differences predicted actual values way avoid problems would arise using raw differences like positive negative errors canceling minimizing squared differences gives us bestfit line find actual values î²â‚€ î²â‚ use method called partial differentiation minimize errors formulas come î²â‚€ meany î²â‚ meanx î²â‚ meanxy meanx meany meanxâ² meanxâ² give us estimated values slope intercept help us understand relationship variables using estimates get good approximation population parameters make predictions model,156,2,-22.996738,-9.978228,2,0.77489877,19
58,"analyzing the entire population to understand its behavior/characteristics is not feasible both â€“ time wise and money wise. so, we make use of (representative) samples.

attributes
attributes associated with samples as well as population are:
1.	count (frequency)
2.	mode
3.	mean
4.	standard deviation
5.	variance, and many others
operations
operations associated with samples as well as population are:
1.	count
2.	add
3.	subtract
4.	multiply
5.	divide and many others

using a sample, we can estimate the mean of the population.
attributes associated with the population are known as parameters while those associated with the sample as statistics.
we want to estimate the parameters based on the statistics.

simple linear regression has only one predictor.

y is the response variable/dependent variable/label
x is the predictor variable/independent variable/feature

on a scatter plot in which it looked like the points were scattered on the surface of a circular disc. then he pointed out a few things, which are:
1.	simple linear regression is not required in such cases.
2.	it would not be the best possible method in such cases.
3.	but if someone wants to apply it, then it can be applied.
4.	in such a case a point is a better approximation than a line, this can be understood by taking any value of the feature (x) and then by looking at the difference in its actual value at that x and the predicted value.
5.	each point can be considered as a model â€“ although a very naã¯ve one.

bias - value of the y â€“ intercept in the equation obtained by simple linear regression.

as the size of the sample which we are using to estimate the population parameters increases the estimates become better.

estimation interval or confidence interval, finding î²0 and î²1 was just the start of machine learning. we need to take into account the error that would be there in our estimation. we have no basis to say that î²0 = î²0p.

confidence interval which is that with a% probability we can say that the parameter value will lie in an interval, that interval is known as confidence interval. typically, confidence intervals are of 90% or 95% and sometimes even 99%. 100% confidence interval is the interval from -infinity to +infinity.

options : 
1.	minimize sum of all ei
2.	minimize the sum of squares of all ei.
3.	minimize the sum of perpendicular distance between all pairs of {(xi,,yi) and (xi,yi-bar)}.
4.	minimize the sum of absolute value of all ei.
here ei = yi â€“ (yi-bar)    
(1) is rejected (4) is rejected because we donâ€™t want our solutions to be biased towards any direction so we choose (2).
a professor sir/maâ€™am has done (3).

",analyzing entire population understand behaviorcharacteristics feasible â€“ time wise money wise make use representative samples attributes attributes associated samples well population 1 count frequency 2 mode 3 mean 4 standard deviation 5 variance many others operations operations associated samples well population 1 count 2 add 3 subtract 4 multiply 5 divide many others using sample estimate mean population attributes associated population known parameters associated sample statistics want estimate parameters based statistics simple linear regression one predictor response variabledependent variablelabel x predictor variableindependent variablefeature scatter plot looked like points scattered surface circular disc pointed things 1 simple linear regression required cases 2 would best possible method cases 3 someone wants apply applied 4 case point approximation line understood taking value feature x looking difference actual value x predicted value 5 point considered model â€“ although naã¯ve one bias value â€“ intercept equation obtained simple linear regression size sample using estimate population parameters increases estimates become estimation interval confidence interval finding î²0 î²1 start machine learning need take account error would estimation basis say î²0 î²0p confidence interval probability say parameter value lie interval interval known confidence interval typically confidence intervals 90 95 sometimes even 99 100 confidence interval interval infinity infinity options 1 minimize sum ei 2 minimize sum squares ei 3 minimize sum perpendicular distance pairs xiyi xiyibar 4 minimize sum absolute value ei ei yi â€“ yibar 1 rejected 4 rejected donâ€™t want solutions biased towards direction choose 2 professor sirmaâ€™am done 3,244,2,-29.764845,-10.234512,2,0.7728093,20
519,"the lecture started with brief discussion on differences between population and samples. further we moved on with discussion on simple linear regression further discussing dependent and independent variables and via examples we learnt to plot scatter plots in order to gain insights of the data points and even used a point to model a collection of data. further we discussed liner regression in more detail talking about beta 1 and beta 0 which are used as estimates of population variables to gain insights about the data through an example of sales and advertisement as how sales depend on advertisement. the concept of bias was also introduced which accounts for independent variables/predictors which are not considered while modeling for the data. later the concept of error was introduced and the optimisation of beta 1 and beta 0 was carried out to get values a and b which is called a closed form solution. a concept of confidence intervals was also introduced briefly which is better than point estimates as of possible values of variables is given in terms of intervals with a specific confidence related to them. 
",started brief differences population samples moved simple linear regression discussing dependent independent variables via examples plot scatter plots order gain insights points even point model collection liner regression detail talking beta 1 beta 0 estimates population variables gain insights sales advertisement sales depend advertisement concept bias also introduced accounts independent variablespredictors considered modeling later concept error introduced optimisation beta 1 beta 0 carried get values b called closed form solution concept confidence intervals also introduced briefly point estimates possible values variables given terms intervals specific confidence related,87,2,-26.469744,-12.453994,2,0.7711768,21
576,"
today's class covered the concepts of population and sample data, with an emphasis on the practicality of using samples to estimate population parameters. key statistical measures such as mean, median, and variance were discussed, as well as their use in data analysis. confidence intervals were created to estimate population parameters with a certain level of certainty. the discussion then shifted to simple linear regression, in which we found the best-fit line by minimizing the sum of squared errors. we discovered that the mean of the predictor and response variables is on the best-fit line. deriving coefficients b0 and b1â€‹ for simple regression is straightforward, but extending this to multiple predictors requires more advanced algorithms, which will be explored in the following class.",class covered concepts population sample emphasis practicality using samples estimate population parameters key statistical measures mean median variance well use analysis confidence intervals created estimate population parameters certain level certainty shifted simple linear regression found bestfit line minimizing sum squared errors discovered mean predictor response variables bestfit line deriving coefficients b0 b1â€‹ simple regression straightforward extending multiple predictors requires advanced algorithms explored following class,64,2,-24.220932,-10.684726,2,0.7710071,22
643,"in today's class, we saw that the sample we selected for testing out of the population must be good and representative. the attributes we calculate for the sample are called statistics, and those we estimate for the population are called parameters. we estimate parameters based on the statistics. if y is a dependent/response variable, which is dependent on x as independent variables, features, or predictors and we have their sample data then we can predict a model through which we can find y for values of x that were not in the sample data, i.e. we are predicting population attributes using sample attributes. if there are various dependent variables, like x1,x2, etc. we can estimate the model using mlr while for only x we can predict the model using slr. the very basic/naive model of the sample data can be a point, but the error in the predicted and observed value will be significant in most cases. then we move on towards slr, for data, if we can plot a best-fit line then the line can be predicted by simple linear regression as y= b0+b1x. as we increase the sample size, our model will become better as we move toward the population as a sample. similarly, different sample has different best-fit lines. b0 and b1 are point estimates and we need to arrive at the possible interval within which these values lie such that there is a very high chance that b0 and b1  we can get b0 and b1 using the sample data will be within the interval respectively. we can get the values of b0 and b1 using the sample data.",class saw sample selected testing population must good representative attributes calculate sample called statistics estimate population called parameters estimate parameters based statistics dependentresponse variable dependent x independent variables features predictors sample predict model find values x sample ie predicting population attributes using sample attributes dependent variables like x1x2 etc estimate model using mlr x predict model using slr basicnaive model sample point error predicted observed value significant cases move towards slr plot bestfit line line predicted simple linear regression b0b1x increase sample size model become move toward population sample similarly different sample different bestfit lines b0 b1 point estimates need arrive possible interval within values lie high chance b0 b1 get b0 b1 using sample within interval respectively get values b0 b1 using sample,124,2,-27.244196,-9.381907,2,0.76892877,23
197,"discussed the  distinct difference between sample and population and why sample should be a good even representative of the population , also mentioned different attributes  associated with sample and population . discussed the difference between statistics and parameters  like  statistics is calculated using sample and parameters using population.briefly introduced the linear regression model and how and why we use mean squared error as the error model to minimise.sir also discussed about confidence interval and how it is generally 90,95,99%
and is used in estimation.",distinct difference sample population sample good even representative population also mentioned different attributes associated sample population difference statistics parameters like statistics calculated using sample parameters using populationbriefly introduced linear regression model use mean squared error error model minimisesir also confidence interval generally 909599 estimation,44,2,-27.393162,-10.717068,2,0.7667176,24
177,"in today's session, we discussed attributes like count, mean, mode, median, standard deviation, variance, etc which serve as a parameter for population and statistics for sample data. based on the sample, we can only estimate the attributes of the population. depending on the observations (or features) we decide which machine learning technique will produce the best predictions with minimal error. linear regression equation ( y=ax+b) where b is the bias which represents the effect of the sum of all unknown features that we have not accounted for. here, in this case, 'a' and 'b' variables are the population parameter estimates. as we increase the sample size we get better estimates. the interval range of these statistic parameters ( a and b) is called the confidence interval. the higher the confidence, the higher the interval size, and the lower the confidence, the lower the interval size. the exact value of 'a' and 'b' are point estimates and their confidence is zero percent. the mean of observations lies on the line of linear regression. we minimize the sum of the square of error of each observation to get the best line equation for linear regression.",attributes like count mean mode median standard deviation variance etc serve parameter population statistics sample based sample estimate attributes population depending observations features decide machine learning technique produce best predictions minimal error linear regression equation yaxb b bias represents effect sum unknown features accounted case b variables population parameter estimates increase sample size get estimates interval range statistic parameters b called confidence interval higher confidence higher interval size lower confidence lower interval size exact value b point estimates confidence zero percent mean observations lies line linear regression minimize sum square error observation get best line equation linear regression,98,2,-24.714094,-9.002365,2,0.75855845,25
308,"in today's lecture, we built on our previous discussion about the distinction between a population and a sample. additionally, we delved deeper into simple linear regression (slr), exploring its concepts and applications. below is a detailed summary of the topics covered.

1. sample vs population
    1. sample is a part of the population which we use to predict the parameters of population.
    2. it should be a good representation of the population otherwise parameter estimates would be way off the mark.
    
    then we defined some formal terms for population and sample.
    
    properties of samples are called â€œstatisticsâ€
    
    properties of samples are called â€œparametersâ€
    
    we use statistics to estimate parameters.
    
2. then we delved into what operations can be applied on data captured via different scales of measurement
    1. nominal / ordinal: you can perform operations like counting, addition, subtraction
    2. interval / ratio: you can perform operations like counting, addition, subtraction, mean, median, mode, standard deviation, variance etc.
3. simple linear regression (slr)
    1. when we have one independent variable(x) and one dependent variable(y)
    2. independent variable(x): feature, predictor
    3. dependent variable(y): response variable, label
    4. we had a dataset of 100 points, plotted a scatter plot and observed that y is linearly dependent on x and decided to use slr (a line of form: a + bx) to solve the problem.
    5. reason for this offset â€˜aâ€™ is the unaccounted features which affects the target variable. we can also say that magnitude of bias = sum of all unaccounted feature in the system
    6. we discussed how parameter estimates vary depending on sample variability. to address this, we need to use a sample set that accurately represents the population, or our parameter estimates will be inaccurate.
    7. the parameter estimates (a, b) for sure will not be same as true population parameter. thus we use the concept of confidence interval where we find the probability of true population parameter in some range around the parameter estimates.
    8. finally, we explored how to find the best-fit straight line by examining various loss functions including manhattan distance, euclidean distance, and modular distance. we discussed where each technique is most applicable. for line fitting, we used euclidean distance and reviewed the derivation for estimating parameters (a, b). in the case of simple linear regression, we discovered a closed-form solution for these parameters.",built previous distinction population sample additionally delved deeper simple linear regression slr exploring concepts applications detailed topics covered 1 sample vs population 1 sample part population use predict parameters population 2 good representation population otherwise parameter estimates would way mark defined formal terms population sample properties samples called â€œstatisticsâ€ properties samples called â€œparametersâ€ use statistics estimate parameters 2 delved operations applied captured via different scales measurement 1 nominal ordinal perform operations like counting addition subtraction 2 interval ratio perform operations like counting addition subtraction mean median mode standard deviation variance etc 3 simple linear regression slr 1 one independent variablex one dependent variabley 2 independent variablex feature predictor 3 dependent variabley response variable label 4 dataset 100 points plotted scatter plot observed linearly dependent x decided use slr line form bx solve problem 5 reason offset â€˜aâ€™ unaccounted features affects target variable also say magnitude bias sum unaccounted feature system 6 parameter estimates vary depending sample variability address need use sample set accurately represents population parameter estimates inaccurate 7 parameter estimates b sure true population parameter thus use concept confidence interval find probability true population parameter range around parameter estimates 8 finally explored find bestfit straight line examining loss functions including manhattan distance euclidean distance modular distance technique applicable line fitting euclidean distance reviewed derivation estimating parameters b case simple linear regression discovered closedform solution parameters,226,2,-27.83913,-10.300328,2,0.756446,26
